<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2025.10.17	20:00:00.082	1.16709				2
2025.10.17	20:00:00.284	1.16708	1.16710			6
2025.10.17	20:00:01.283		1.16709			4
2025.10.17	20:00:01.484		1.16710			4
2025.10.17	20:00:02.284	1.16709	1.16709			6
2025.10.17	20:00:07.880	1.16710	1.16710			6
2025.10.17	20:00:08.282	1.16714	1.16714			6
2025.10.17	20:00:09.283	1.16718	1.16718			6
2025.10.17	20:00:09.683	1.16719	1.16719			6
2025.10.17	20:00:10.082	1.16718	1.16718			6
2025.10.17	20:00:10.283	1.16716	1.16716			6
2025.10.17	20:00:11.084		1.16717			4
2025.10.17	20:00:11.682	1.16717	1.16718			6
2025.10.17	20:00:11.881	1.16718	1.16719			6
2025.10.17	20:00:12.287	1.16716	1.16717			6
2025.10.17	20:00:14.681	1.16718	1.16719			6
2025.10.17	20:00:15.684	1.16716	1.16717			6
2025.10.17	20:00:17.883	1.16715	1.16716			6
2025.10.17	20:00:18.883	1.16717	1.16718			6
2025.10.17	20:00:19.083	1.16716	1.16717			6
2025.10.17	20:00:19.282	1.16715	1.16716			6
2025.10.17	20:00:19.481	1.16716	1.16717			6
2025.10.17	20:00:21.682	1.16713	1.16714			6
2025.10.17	20:00:24.085	1.16711	1.16712			6
2025.10.17	20:00:24.682	1.16710	1.16711			6
2025.10.17	20:00:24.882	1.16709	1.16710			6
2025.10.17	20:00:26.280	1.16710	1.16711			6
2025.10.17	20:00:26.883	1.16711	1.16712			6
2025.10.17	20:00:27.282	1.16710	1.16711			6
2025.10.17	20:00:27.682	1.16711	1.16712			6
2025.10.17	20:00:29.886	1.16710	1.16711			6
2025.10.17	20:00:30.081	1.16709	1.16710			6
2025.10.17	20:00:32.683	1.16708	1.16709			6
2025.10.17	20:00:33.094	1.16709	1.16710			6
2025.10.17	20:00:33.283	1.16708	1.16709			6
2025.10.17	20:00:34.084	1.16709				2
2025.10.17	20:00:35.083	1.16711	1.16711			6
2025.10.17	20:00:35.684	1.16712	1.16712			6
2025.10.17	20:00:36.084	1.16711	1.16711			6
2025.10.17	20:00:38.282	1.16713	1.16713			6
2025.10.17	20:00:39.482	1.16714	1.16714			6
2025.10.17	20:00:46.485	1.16719	1.16719			6
2025.10.17	20:00:47.082	1.16718				2
2025.10.17	20:00:47.687	1.16716	1.16717			6
2025.10.17	20:00:47.883	1.16715	1.16716			6
2025.10.17	20:00:48.283	1.16714	1.16715			6
2025.10.17	20:00:50.286	1.16715	1.16716			6
2025.10.17	20:00:50.881	1.16714	1.16715			6
2025.10.17	20:00:53.087	1.16716	1.16717			6
2025.10.17	20:00:53.681	1.16714	1.16715			6
2025.10.17	20:00:56.689	1.16713	1.16714			6
2025.10.17	20:00:58.082	1.16714	1.16715			6
2025.10.17	20:00:58.884	1.16712	1.16713			6
2025.10.17	20:01:00.085	1.16712				2
2025.10.17	20:01:00.289		1.16714			4
2025.10.17	20:01:01.282	1.16714	1.16716			6
2025.10.17	20:01:02.083	1.16715				2
2025.10.17	20:01:02.282		1.16715			4
2025.10.17	20:01:02.682	1.16714	1.16714			6
2025.10.17	20:01:03.082	1.16713				2
2025.10.17	20:01:03.684		1.16715			4
2025.10.17	20:01:04.682		1.16714			4
2025.10.17	20:01:06.083		1.16713			4
